         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1990    0.021    0.000  124.257    0.062 base_events.py:1908(_run_once)
    10243    0.009    0.000   75.598    0.007 events.py:86(_run)
    10243    0.014    0.000   48.219    0.005 {method 'run' of '_contextvars.Context' objects}
       24    0.000    0.000   44.315    1.846 threading.py:1115(join)
       24    0.000    0.000   43.625    1.818 threading.py:1153(_wait_for_tstate_lock)
        3    0.000    0.000   43.586   14.529 base_events.py:649(run_until_complete)
        3    0.000    0.000   43.586   14.529 base_events.py:625(run_forever)
 1391/837    0.004    0.000   38.936    0.047 {method 'acquire' of '_thread.lock' objects}
      351    0.000    0.000   38.331    0.109 app.py:1601(run_app)
     1990    0.005    0.000   27.495    0.014 selectors.py:451(select)
     1990    2.446    0.001   26.900    0.014 {method 'poll' of 'select.epoll' objects}
    749/1    0.019    0.000   24.785   24.785 {built-in method builtins.exec}
        1    0.000    0.000   24.785   24.785 <string>:1(<module>)
        1    0.000    0.000   24.785   24.785 <frozen runpy>:201(run_module)
        1    0.000    0.000   24.784   24.784 <frozen runpy>:65(_run_code)
        1    0.000    0.000   24.784   24.784 __main__.py:1(<module>)
        1    0.000    0.000   24.455   24.455 app.py:1576(run)
        1    0.000    0.000   24.455   24.455 runners.py:160(run)
        1    0.000    0.000   24.455   24.455 runners.py:61(__exit__)
        1    0.000    0.000   24.455   24.455 runners.py:64(close)
     23/1    0.000    0.000   24.454   24.454 threading.py:1016(_bootstrap)
     23/1    0.000    0.000   24.454   24.454 threading.py:1056(_bootstrap_inner)
     22/1    0.000    0.000   24.454   24.454 threading.py:999(run)
        1    0.000    0.000   24.454   24.454 base_events.py:609(_do_shutdown)
        2    0.000    0.000   24.453   12.227 thread.py:219(shutdown)
     20/1    0.000    0.000   19.331   19.331 thread.py:69(_worker)
    185/1    0.011    0.000   19.331   19.331 {method 'get' of '_queue.SimpleQueue' objects}
        1    0.000    0.000   19.164   19.164 runners.py:86(run)
      304    0.029    0.000   16.195    0.053 selectors.py:319(select)
      304   15.900    0.052   15.905    0.052 {built-in method select.select}
      351    0.001    0.000   15.722    0.045 app.py:1495(run_async)
7278/6916    0.009    0.000    7.955    0.001 _callback.py:51(invoke)
7278/6916    0.011    0.000    7.945    0.001 _callback.py:34(_invoke)
      572    0.000    0.000    6.961    0.012 timer.py:144(_run_timer)
      545    0.002    0.000    6.961    0.013 timer.py:151(_run)
      292    0.000    0.000    6.948    0.024 timer.py:180(_tick)
      182    0.002    0.000    6.794    0.037 screen.py:824(_on_timer_update)
      215    0.001    0.000    6.271    0.029 screen.py:777(_compositor_refresh)
      124    0.001    0.000    4.744    0.038 driver.py:70(process_event)
      199    0.002    0.000    4.081    0.021 app.py:2864(_display)
      196    0.000    0.000    3.886    0.020 linux_driver.py:152(write)
      196    0.000    0.000    3.886    0.020 _writer_thread.py:20(write)
      197    0.002    0.000    3.886    0.020 queue.py:122(put)
      112    0.008    0.000    2.321    0.021 screen.py:898(_refresh_layout)
      199    0.001    0.000    2.180    0.011 _compositor.py:1002(render_update)
      169    0.062    0.000    2.094    0.012 _compositor.py:1089(_render_chops)
     3270    0.003    0.000    1.861    0.001 widget.py:3343(render_lines)
     3270    0.016    0.000    1.855    0.001 _styles_cache.py:103(render_widget)
     3323    0.010    0.000    1.846    0.001 _compositor.py:944(_get_renders)
      161    0.003    0.000    1.638    0.010 _compositor.py:1054(render_partial_update)
     3270    0.035    0.000    1.542    0.000 _styles_cache.py:164(render)
     4973    0.036    0.000    1.431    0.000 _styles_cache.py:254(render_line)
     2777    0.002    0.000    1.257    0.000 message_pump.py:508(_process_messages)
     6693    0.020    0.000    1.233    0.000 message_pump.py:630(_dispatch_message)
     2989    0.036    0.000    1.167    0.000 message_pump.py:557(_process_messages_loop)
     5053    0.016    0.000    1.096    0.000 message_pump.py:721(_on_message)
     4802    0.006    0.000    1.093    0.000 widget.py:3326(render_line)
      352    0.010    0.000    1.086    0.003 widget.py:3291(_render_content)
     2783    0.004    0.000    1.068    0.000 worker.py:353(_run)
     2783    0.001    0.000    1.054    0.000 worker.py:341(run)
     2357    0.001    0.000    1.035    0.000 worker.py:323(_run_async)
2378/2363    0.004    0.000    0.974    0.000 api_client.py:50(wrapper)
  188/142    0.001    0.000    0.935    0.007 _compositor.py:573(_arrange_root)
14864/142    0.114    0.000    0.934    0.007 _compositor.py:594(add_widget)
     1747    0.001    0.000    0.916    0.001 message_pump.py:713(on_event)
     2014    0.002    0.000    0.902    0.000 trading.py:340(fetch_new_records)
     2372    0.001    0.000    0.870    0.000 _client.py:1519(request)
     2363    0.001    0.000    0.864    0.000 _client.py:1784(get)
     2014    0.054    0.000    0.849    0.000 api_client.py:189(get_records)
       42    0.000    0.000    0.837    0.020 plotext_plot.py:95(render)
       42    0.000    0.000    0.800    0.019 _figure.py:324(build)
     2372    0.002    0.000    0.787    0.000 _client.py:1628(send)
       42    0.001    0.000    0.760    0.018 _figure.py:330(_build_matrix)
       42    0.026    0.001    0.739    0.018 _build.py:8(build_plot)
8629/8012    0.006    0.000    0.705    0.000 widget.py:1688(region)
       74    0.009    0.000    0.702    0.009 _compositor.py:382(reflow)
        2    0.000    0.000    0.694    0.347 linux_driver.py:309(disable_input)
8681/8064    0.002    0.000    0.672    0.000 screen.py:448(find_widget)
8681/8064    0.002    0.000    0.668    0.000 _compositor.py:883(find_widget)
   145/78    0.001    0.000    0.663    0.009 _compositor.py:496(full_map)
     2127    0.002    0.000    0.631    0.000 _client.py:1677(_send_handling_auth)
     2127    0.001    0.000    0.626    0.000 _client.py:1711(_send_handling_redirects)
     2127    0.003    0.000    0.625    0.000 _client.py:1749(_send_single_request)
5022/3060    0.005    0.000    0.603    0.000 widget.py:825(_arrange)
     2127    0.003    0.000    0.588    0.000 default.py:354(handle_async_request)
5216/4599    0.005    0.000    0.585    0.000 widget.py:1647(content_region)
       49    0.001    0.000    0.583    0.012 __init__.py:1(<module>)
     2127    0.005    0.000    0.579    0.000 connection_pool.py:159(handle_async_request)
1932/1315    0.001    0.000    0.569    0.000 widget.py:1620(size)
 1254/699    0.043    0.000    0.533    0.001 stylesheet.py:435(apply)
       38    0.001    0.000    0.488    0.013 _compositor.py:1041(render_full_update)
2877/2731    0.008    0.000    0.482    0.000 reactive.py:261(__set__)
1596/1510    0.002    0.000    0.475    0.000 reactive.py:307(_check_watchers)
  498/471    0.001    0.000    0.473    0.001 reactive.py:61(invoke_watcher)
       60    0.000    0.000    0.447    0.007 dom.py:1396(_update_styles)
       60    0.000    0.000    0.447    0.007 app.py:1761(update_styles)
       62    0.003    0.000    0.446    0.007 stylesheet.py:675(update_nodes)
  694/576    0.010    0.000    0.405    0.001 _arrange.py:34(arrange)
       14    0.000    0.000    0.402    0.029 widget.py:3213(watch_has_focus)
       38    0.051    0.001    0.382    0.010 _utility.py:537(get_lines)
     2581    0.004    0.000    0.326    0.000 connection.py:67(handle_async_request)
      936    0.026    0.000    0.320    0.000 connection_pool.py:230(_assign_requests_to_connections)
   553/11    0.002    0.000    0.317    0.029 <frozen importlib._bootstrap>:1349(_find_and_load)
   550/11    0.001    0.000    0.316    0.029 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   533/13    0.001    0.000    0.316    0.024 <frozen importlib._bootstrap>:911(_load_unlocked)
   502/13    0.001    0.000    0.315    0.024 <frozen importlib._bootstrap_external>:989(exec_module)
  631/513    0.018    0.000    0.315    0.001 vertical.py:20(arrange)
  1169/27    0.001    0.000    0.314    0.012 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    45557    0.105    0.000    0.308    0.000 _utility.py:553(get_line)
   329936    0.111    0.000    0.286    0.000 styles.py:1234(get_rule)
  670/552    0.009    0.000    0.282    0.001 _resolve.py:178(resolve_box_models)
2400/2083    0.032    0.000    0.279    0.000 widget.py:1153(_get_box_model)
     1824    0.007    0.000    0.275    0.000 http11.py:72(handle_async_request)
      196    0.269    0.001    0.269    0.001 {method 'write' of '_io.TextIOWrapper' objects}
  237/212    0.002    0.000    0.259    0.001 thread.py:53(run)
     8143    0.002    0.000    0.247    0.000 connection.py:185(has_expired)
     7964    0.006    0.000    0.244    0.000 http11.py:281(has_expired)
     6117    0.008    0.000    0.237    0.000 anyio.py:83(get_extra_info)
        8    0.000    0.000    0.231    0.029 widget.py:3761(_on_focus)
     1208    0.023    0.000    0.225    0.000 stylesheet.py:596(replace_rules)
  213/201    0.003    0.000    0.224    0.001 worker.py:301(run_callable)
  211/199    0.055    0.000    0.217    0.001 trading.py:396(replot)
    15160    0.054    0.000    0.209    0.000 match.py:27(_check_selectors)
      234    0.001    0.000    0.186    0.001 message_pump.py:526(_pre_process)
    24911    0.048    0.000    0.182    0.000 strip.py:418(divide)
     1576    0.014    0.000    0.174    0.000 query.py:113(nodes)
        6    0.000    0.000    0.173    0.029 widget.py:3767(_on_blur)
124890/124730    0.062    0.000    0.172    0.000 reactive.py:234(__get__)
      446    0.001    0.000    0.164    0.000 http11.py:147(_send_request_headers)
      891    0.001    0.000    0.156    0.000 http11.py:170(_send_event)
 1254/699    0.004    0.000    0.154    0.000 stylesheet.py:570(_process_component_classes)
     6117    0.009    0.000    0.154    0.000 _typedattr.py:58(extra)
      465    0.001    0.000    0.154    0.000 _models.py:906(aread)
21098/21076    0.012    0.000    0.153    0.000 {built-in method builtins.any}
      709    0.002    0.000    0.152    0.000 _models.py:914(aiter_bytes)
1066597/1062079    0.133    0.000    0.152    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.150    0.150 login.py:1(<module>)
   101598    0.028    0.000    0.147    0.000 model.py:154(check)
   374573    0.083    0.000    0.146    0.000 styles.py:734(get_rule)
      709    0.002    0.000    0.146    0.000 _models.py:969(aiter_raw)
72813/72808    0.012    0.000    0.143    0.000 {built-in method builtins.all}
     4638    0.002    0.000    0.141    0.000 stylesheet.py:418(_check_rule)
      891    0.001    0.000    0.141    0.000 anyio.py:39(write)
     6117    0.035    0.000    0.140    0.000 _sockets.py:58(extra_attributes)
       16    0.001    0.000    0.135    0.008 trading.py:71(update_childs)
    25553    0.068    0.000    0.135    0.000 strip.py:87(__init__)
    23500    0.006    0.000    0.134    0.000 query.py:125(<genexpr>)
4849/4787    0.009    0.000    0.132    0.000 segment.py:264(split_and_crop_lines)
    15020    0.083    0.000    0.131    0.000 message_pump.py:656(_get_dispatch_methods)
      274    0.042    0.000    0.129    0.000 _utility.py:532(get_matrix_data)
    11790    0.006    0.000    0.129    0.000 match.py:11(match)
        7    0.000    0.000    0.125    0.018 screen.py:1048(_on_resize)
206931/65147    0.122    0.000    0.124    0.000 _utility.py:83(join)
